job_id,skill_abr
3884805573,ENG
3884805573,IT
3884926568,MGMT
3884926568,MNFC
3884989870,MNFC
3884989870,OTHR
3887724161,HR
3887719294,ENG
3887719294,IT
3884437594,FIN
3884437594,ANLS
3884437594,ACCT
3887712500,IT
3884804635,IT
3884442757,OTHR
3884912822,SALE
3884912822,BD
3887717064,MGMT
3887717064,MNFC
3884917967,BD
3884917967,SALE
3884996526,PRCH
3884996526,SUPL
3884996526,IT
3884436248,ENG
3884436248,IT
3884998271,PRJM
3884998271,IT
3884998271,PRDM
3887719268,IT
3884447074,ENG
3884447074,IT
3884802889,BD
3884802889,OTHR
3884802889,DSGN
3884440647,MRKT
3884995035,PRJM
3884995035,IT
3884995035,PRDM
3884434988,IT
3884431632,IT
3884443458,SALE
3884443458,BD
3884438674,IT
3887498581,SALE
3887498581,BD
3887843638,OTHR
3884995023,CNSL
3884995023,IT
3884995023,ENG
3884442638,ANLS
3884442638,IT
3887498578,SALE
3887498578,BD
3884989874,IT
3884989889,STRA
3884989889,ANLS
3884989889,IT
3884806442,QA
3884439566,QA
3887714936,BD
3887714936,SALE
3884995018,SALE
3884995018,ADVR
3884995018,BD
3884434230,ENG
3884434230,IT
3885810570,IT
3887473383,FIN
3884990772,IT
3884990772,CUST
3884993201,MGMT
3884993201,DIST
3884993201,SUPL
3884936241,SALE
3884936241,BD
3884805577,IT
3885808776,IT
3884989934,WRT
3884437837,IT
3885812123,IT
3887832912,IT
3885807664,IT
3884439358,PRJM
3884439358,IT
3884439358,PRCH
3887715249,SALE
3887715249,IT
3887715249,BD
3884932772,IT
3884990777,PRJM
3884990777,MGMT
3884990777,PRDM
3885810554,IT
3884437850,SALE
3884992248,MNFC
3884992248,OTHR
3884994024,IT
3884994024,CNSL
3884994024,ENG
3887499528,SALE
3887499528,BD
3887846287,OTHR
3884431643,ENG
3884431643,IT
3887710592,IT
3884992270,IT
3884992270,CNSL
3884992270,ENG
3884444234,SALE
3884436284,IT
3884991626,QA
3884991626,IT
3884991626,ENG
3887852701,OTHR
3884991604,QA
3884991604,IT
3884991604,ENG
3884917805,CNSL
3884917805,IT
3884917805,SALE
3887855464,DSGN
3887855464,ART
3887855464,IT
3884994029,IT
3884994029,CNSL
3884994029,ENG
3887832873,PRJM
3887832873,MRKT
3884994047,PRJM
